IAT,Ts,Arrival,Start,End,Tq,Tw
0.21003293127888445,0.2264146778884124,1000.0684442027049,1000.0684442027049,1000.2948588805933,0.22641467788844238,2.9976021664879227E-14
0.015833489768893223,0.04735903782299445,1000.0842776924737,1000.2948588805933,1000.3422179184163,0.25794022594254784,0.2105811881195534
0.1584339194225218,0.05923209468269352,1000.2427116118963,1000.3422179184163,1000.401450013099,0.1587384012026405,0.09950630651994696
0.047810656740608665,0.256766453419361,1000.2905222686369,1000.401450013099,1000.6582164665183,0.36769419788140567,0.11092774446204468
0.5876279259496932,0.053529933900415716,1000.8781501945866,1000.8781501945866,1000.9316801284871,0.05352993390044958,3.3861802251067274E-14
0.15517453748471716,0.013538006904704913,1001.0333247320714,1001.0333247320714,1001.0468627389761,0.013538006904695976,-8.93729534823251E-15
0.06025181798671631,0.3469801823947061,1001.0935765500581,1001.0935765500581,1001.4405567324528,0.34698018239475914,5.3013149425851225E-14
0.1793079469377816,0.05480013717212622,1001.2728844969959,1001.4405567324528,1001.495356869625,0.22247237262911312,0.1676722354569869
0.04976707496322071,0.14439674418392823,1001.3226515719591,1001.495356869625,1001.6397536138089,0.3171020418498074,0.17270529766587916
0.03562621780024505,0.18551927581410677,1001.3582777897593,1001.6397536138089,1001.8252728896231,0.466995099863766,0.2814758240496592
0.1396633714827973,0.1392975566792506,1001.4979411612421,1001.8252728896231,1001.9645704463023,0.4666292850602076,0.32733172838095703
0.08054976388263513,0.019606745032248376,1001.5784909251248,1001.9645704463023,1001.9841771913345,0.40568626620972736,0.386079521177479
0.10727425216285896,0.11617357257151263,1001.6857651772876,1001.9841771913345,1002.100350763906,0.4145855866183865,0.2984120140468739
0.15061113923273636,0.2446892500580438,1001.8363763165204,1002.100350763906,1002.3450400139641,0.5086636974436942,0.26397444738565046
0.16609956904144904,0.23347980979675834,1002.0024758855618,1002.3450400139641,1002.5785198237609,0.5760439381990636,0.3425641284023053
0.07125477781186422,0.06096987027970038,1002.0737306633737,1002.5785198237609,1002.6394896940405,0.5657590306668681,0.5047891603871677
0.12442620785889441,0.049775033923762875,1002.1981568712325,1002.6394896940405,1002.6892647279643,0.49110785673178725,0.4413328228080244
0.2864408811357198,0.08536255463243693,1002.4845977523682,1002.6892647279643,1002.7746272825967,0.2900295302284803,0.2046669755960434
0.6787469940122658,0.11936591516784824,1003.2451364123991,1003.2451364123991,1003.3645023275669,0.11936591516780481,-4.3423598050651435E-14
0.0035894080205286388,0.33015021067372974,1003.2487258204196,1003.3645023275669,1003.6946525382407,0.44592671782106663,0.1157765071473369
0.1759274797005934,0.41426470658360276,1003.4246533001202,1003.6946525382407,1004.1089172448243,0.684263944704071,0.2699992381204683
0.0600561174751591,0.25575352289078057,1003.4847094175954,1004.1089172448243,1004.3646707677151,0.8799613501197427,0.6242078272289622
0.09193409094511466,0.12039647839587593,1003.5766435085404,1004.3646707677151,1004.4850672461109,0.9084237375705015,0.7880272591746256
0.02789979418569624,0.028214822088916812,1003.7155348439622,1004.4850672461109,1004.5132820681998,0.7977472242375825,0.7695324021486657
0.8199954317692429,0.1924375333860992,1004.5355302757315,1004.5355302757315,1004.7279678091176,0.1924375333860553,-4.390932062392494E-14
0.29754850792223836,0.08836370192606223,1004.8330787836537,1004.8330787836537,1004.9214424855797,0.08836370192602772,-3.4514058278034554E-14
0.11441829661476836,0.28136991259920013,1004.9474970802685,1004.9474970802685,1005.2288669928677,0.28136991259918886,-1.1268763699945339E-14
0.006286533148689758,0.04380651240622242,1004.9537836134172,1005.2288669928677,1005.2726735052739,0.3188898918567702,0.2750833794505478
0.3467085955708053,0.01771477194559629,1005.300492208988,1005.300492208988,1005.3182069809336,0.01771477194563431,3.802166914645966E-14
0.4066423577197422,0.2236749640597946,1005.7071345667077,1005.7071345667077,1005.9308095307675,0.22367496405979637,1.7763568394002505E-15
0.4652566358405473,0.047164903907140274,1006.1723912025483,1006.1723912025483,1006.2195561064555,0.04716490390717354,3.326505737533125E-14
0.09267290788953252,0.06467917917557614,1006.2650641104378,1006.2650641104378,1006.3297432896134,0.06467917917552768,-4.846123502488808E-14
0.20219704825757637,0.21460194498745652,1006.4672611586955,1006.4672611586955,1006.6818631036829,0.21460194498740748,-4.904410211281629E-14
0.012557117808533469,0.062304165988505904,1006.479818276504,1006.6818631036829,1006.7441672696714,0.2643489931673457,0.20204482717883981
0.00313078759975379,0.13878745162178,1006.4829490641038,1006.7441672696714,1006.8829547212931,0.40000565718935377,0.2612182055675738
0.12482461100140002,0.5315710029374909,1006.6077736751051,1006.8829547212931,1007.4145257242307,0.8067520491255209,0.27518104618802997
0.13178970334477255,0.5690376407526427,1006.8121570806103,1007.4145257242307,1007.9835633649833,1.1714062843730062,0.6023686436203635
0.25618652567205175,0.0013312508278806262,1007.0683436062824,1007.9835633649833,1007.9848946158112,0.9165510095288028,0.9152197587009221
0.08522133795919566,0.08110562941056561,1007.1535649442416,1007.9848946158112,1008.0660002452217,0.912435300980178,0.8313296715696123
0.13277727604548148,0.10744018710266895,1007.4640491297994,1008.0660002452217,1008.1734404323245,0.7093913025250913,0.6019511154224224
0.0203814927785767,0.019626918666246388,1007.9893883879434,1008.1734404323245,1008.1930673509908,0.20367896304730948,0.1840520443810631
0.14025302009337626,0.37473673392995915,1008.1296414080368,1008.1930673509908,1008.5678040849207,0.4381626768838487,0.06342594295388954
6.650728748453528E-4,0.2028704796993363,1008.1303064809117,1008.5678040849207,1008.77067456462,0.6403680837082675,0.4374976040089312
