IAT,Ts,Arrival,Start,End,Tq,Tw
0.10674006159198425,0.36349773358711074,999.6762841510738,999.6814887152384,1000.0449864488255,0.3687022977517245,0.005204564164613734
0.03585964860075692,0.057934132031074205,999.7121437996745,1000.0449864488255,1000.1029205808566,0.3907767811820122,0.332842649150938
0.19112214493836713,0.24594330014382412,1000.1716842879893,1000.1716842879893,1000.4176275881331,0.24594330014383559,1.1463052729254741E-14
0.4185553352769558,0.2822678178404682,1000.5902396232663,1000.5902396232663,1000.8725074411067,0.2822678178404203,-4.7906123512575505E-14
0.15518741517472737,0.20253858329435326,1000.745427038441,1000.8725074411067,1001.075046024401,0.3296189859599963,0.12708040266564302
0.4239431121077659,0.04387819269542897,1001.1765464069848,1001.1765464069848,1001.2204245996802,0.04387819269538795,-4.101580186599563E-14
0.23658334701737774,0.032853115317031285,1001.4131297540022,1001.4131297540022,1001.4459828693192,0.03285311531703883,7.542577673547157E-15
0.46422209462606534,0.12284535011164895,1001.8773518486282,1001.8773518486282,1002.0001971987399,0.12284535011167463,2.568778523226456E-14
0.1900109925288446,0.2549559636121653,1002.0673628411571,1002.0673628411571,1002.3223188047692,0.254955963612133,-3.2307490016592055E-14
0.005862723269030788,0.009694134354335991,1002.0732255644261,1002.3223188047692,1002.3320129391236,0.2587873746974765,0.24909324034314048
0.6667171628664863,0.003862071431832201,1002.7708904927835,1002.7708904927835,1002.7747525642153,0.0038620714318540195,2.181848451909829E-14
0.2218113674661555,0.13593163416023757,1002.9927018602496,1002.9927018602496,1003.1286334944098,0.13593163416021525,-2.2315482794965646E-14
0.02212205332820037,0.13245145759585233,1003.0148239135777,1003.1286334944098,1003.2610849520056,0.2462610384278605,0.11380958083200818
0.11909774140997222,0.1731886519529199,1003.1690829684969,1003.2610849520056,1003.4342736039586,0.2651906354616358,0.09200198350871588
0.03602802947798806,0.35639163701189813,1003.2615290557527,1003.4342736039586,1003.7906652409705,0.5291361852177943,0.17274454820589613
0.6544257262872443,0.587239925505505,1003.91595478204,1003.91595478204,1004.5031947075455,0.5872399255055143,9.325873406851315E-15
0.16101697460544037,0.14002397775212685,1004.0769717566454,1004.5031947075455,1004.6432186852976,0.5662469286521628,0.4262229509000359
0.3538503909580493,0.0394945726557469,1004.5223167118866,1004.6432186852976,1004.6827132579533,0.16039654606674958,0.12090197341100267
0.20322375076802854,0.023194447557797798,1004.7809167432583,1004.7809167432583,1004.8041111908161,0.02319444755778477,-1.3027773304585821E-14
0.2816832755039312,0.12374246951342294,1005.0626000187623,1005.0626000187623,1005.1863424882757,0.12374246951344503,2.2093438190040615E-14
0.40642676642862074,5.785605103286058E-4,1005.4690267851909,1005.4690267851909,1005.4696053457012,5.785605103483249E-4,1.971914385251461E-14
0.6256110095806909,0.04603555794529111,1006.0946377947715,1006.0946377947715,1006.1406733527168,0.04603555794528802,-3.0878077872387166E-15
0.03912094418899668,0.11169925403380182,1006.1337587389605,1006.1406733527168,1006.2523726067507,0.11861386779014538,0.006914613756343557
0.4099024194329251,0.10383477740086695,1006.5436611583934,1006.5436611583934,1006.6474959357943,0.10383477740083435,-3.259892356055616E-14
0.04014417175048381,0.09068090820668867,1006.583805330144,1006.6474959357943,1006.7381768440009,0.15437151385697234,0.06369060565028367
0.7057441959893632,0.4955183365047173,1007.2895495261333,1007.2895495261333,1007.785067862638,0.4955183365046878,-2.9531932455029164E-14
0.08543635458683353,0.25616912452970253,1007.3749858807201,1007.785067862638,1008.0412369871677,0.6662511064475893,0.4100819819178868
0.39634999915405794,0.024346313890699543,1008.05804193991,1008.05804193991,1008.0823882538007,0.024346313890646343,-5.320049956125672E-14
0.05197857728367907,0.1571207974235251,1008.1100205171937,1008.1100205171937,1008.2671413146172,0.1571207974235449,1.9789725413943415E-14
0.009469376235282158,0.05475226132595559,1008.119489893429,1008.2671413146172,1008.3218935759431,0.2024036825141593,0.1476514211882037
0.392637824478862,0.2754290441820568,1008.5121277179078,1008.5121277179078,1008.7875567620898,0.27542904418203307,-2.375877272697835E-14
0.527555994596125,0.06462671808338509,1009.0396837125039,1009.0396837125039,1009.1043104305872,0.06462671808333198,-5.3110293940505926E-14
0.14411162700646915,0.023893405169339313,1009.1837953395104,1009.1837953395104,1009.2076887446798,0.02389340516936045,2.1135870831301418E-14
0.36217958441515735,0.21332430603101496,1009.5459749239255,1009.5459749239255,1009.7592992299566,0.21332430603104058,2.5618396293225487E-14
0.023955978220088252,0.11224925790814255,1009.5699309021456,1009.7592992299566,1009.8715484878647,0.30161758571910013,0.18936832781095758
0.32283239598926405,0.40822150760113773,1010.0819184789269,1010.0819184789269,1010.4901399865281,0.4082215076011835,4.574118861455645E-14
0.05197504467960168,0.018321065100383158,1010.1338935236065,1010.4901399865281,1010.5084610516285,0.37456752802199844,0.35624646292161527
0.36078487844495166,0.04504249478646533,1010.7152097301058,1010.7152097301058,1010.7602522248923,0.04504249478645761,-7.722988915048745E-15
0.07859344919407706,0.11784925269618834,1010.7938031792999,1010.7938031792999,1010.911652431996,0.11784925269614632,-4.2021941482062175E-14
0.010026849597952454,0.06072432964718413,1010.8038300288978,1010.911652431996,1010.9723767616432,0.1685467327454262,0.10782240309824206
0.13555862760321466,0.042463414933176596,1010.9604757209923,1010.9723767616432,1011.0148401765764,0.05436445558405012,0.011901040650873523
0.4072125668652809,0.09209069159839713,1011.3676882878576,1011.3676882878576,1011.459778979456,0.09209069159840055,3.427813588530171E-15
0.4089078204127616,0.1897590589176394,1011.7765961082704,1011.7765961082704,1011.966355167188,0.18975905891761613,-2.325917236589703E-14
